label,doc
englishFootball,"Valencia, 33, is out of contract at Old Trafford at the end of the season and his father, Luis, says the player will definitely leave the club in the summer. He claims Arsenal, along with West Ham, Inter Milan and a club in China, are interested in signing the Ecuadorian full-back. Luis Valencia told Ecuadorian newspaper El Universo: ""He definitely will not continue in Manchester. ""He wants a change in the air and the club is not going to renew him either. Like everything in life, everything comes to an end."" When asked about Valencia's next move, he responded: ""Arsenal, West Ham, Inter Milan and one club from China are options, but in football everything is changing. ""He wants to choose the best option, but above all he wants to sign a contract for two years. ""Not for the money, but for peace and hopefully, he told me, be hired by a team that fights for important things."" Arsenal's first-choice right-back Hector Bellerin has been sidelined with a serious knee injury since January and is not expected back until the start of next season. The Gunners also signed 35-year-old right-back Stephan Lichtsteiner on a free transfer last summer on a one-year deal."
englishFootball,"This weekend's 2-1 FA Cup quarter-final defeat at Wolves followed a 2-0 loss at Arsenal last week to leave United's season in danger of derailing. Fifth-placed United are currently just a point ahead of Chelsea and two points adrift of Arsenal with just eight league games left to play. Ole Gunnar Solskjaer's side also have a two-legged Champions League quarter-final against Barcelona to face next month. ""We have to give our best now to reach the top four,"" said Nemanja Matic in the wake of the Molineux defeat. ""We cannot let it go like this, we will analyse everything as there is still a lot to play for. ""We have eight games to play in the Premier League and we are fighting for the top four. ""We have the Champions League as well. We will see what we are able to do and how much quality we have. ""Chelsea, Arsenal and Tottenham will also give their best to be in the top four. Everybody knows that."" After the defeat Solskjaer claimed it was the worst performance of his reign but the Serbia midfielder expects the boss to put it right. He said: ""I am sure he (Solskjaer) will turn this situation around and we will do better. ""After the international break we will see. The first game back after a break is always difficult especially for a team who has so many players away in the national teams. Almost everybody at United is on duty. ""We spoke after the game and said we have to be focused for the next one and stick together and get the top four which is the main target for us."""
englishFootball,"It was a brilliant display from Nuno Espirito Santo's team, who stepped up their intensity in the second half with Raul Jimenez (70) and Diogo Jota (76) grabbing the all-important goals. Marcus Rashford scored (90+5) what was barely a consolation for a lacklustre United, who have now suffered two straight defeats under Ole Gunnar Solksjear. VAR was in use and overturned a red card to Victor Lindelof (80) after a crunching tackle on Jota by the touchline. Wolves: Ruddy (7), Coady (8), Boly (8), Jonny (8), Doherty (8), Neves (7), Dendoncker (7), Saiss (8), Moutinho (8), Jota (8), Jimenez (8)Subs: Traore (N/A), Costa (N/A)Man Utd: Romero (8), Dalot (6), Lindelof (5), Smalling (6), Shaw (6), Herrera (6), Matic (6), Pogba (5), Lingard (6), Rashford (6), Martial (4)Subs:  Pereira (6), Mata (N/A), McTominay (N/A)Man of the match: Raul Jimenez Wolves are now dreaming of winning their first silverware since 1980 with Watford, Manchester City and one of Millwall and Brighton awaiting them in the semi-finals. The visitors dominated possession in the early stages without hurting the hosts - a pattern which bore out during a dull opening 45 minutes. Wolves' best chance came three minutes before the break when Jota was played through by Ruben Neves but Sergio Romero - excellent throughout - made a fine block. Jimenez forced a spectacular one-handed save from Romero just after the break, the goalkeeper reacting quickly to tip the ball onto the crossbar. United were there for the taking and Wolves seized their opportunity with 20 minutes remaining. Joao Moutinho took three United players out with a piece of quality down the left and found Jimenez, who fired a low effort into the net after being afforded too much room. Six minutes later, the game was over when Jota outmuscled Luke Shaw on the counter attack and struck a low effort past Romero at his near post. United escaped further misery late on when Lindelof was initially dismissed for a foul on Jota. However, VAR was used to switch the defender's punishment to just a booking. Rashford did strike in injury time but it did not matter though - Wolves are going to Wembley. The Mexico international fired his third goal in as many games and led the line with great skill and authority, which set the platform for Wolves to strangle United in the second half. That's 15 goals for the season now for the striker as his status within the Wolves fan-base grows week-by-week. Due to the international break, both teams have a 14-day break. Wolves visit Burnley on March 30 while United host Watford on the same day."
englishFootball,"The 2-1 victory at Molineux thanks to goals by Raul Jimenez and Diogo Jota means Wolves are in the semi-finals for the first time in 21 years and are looking to win the trophy for the first time since 1960. ""It means a lot, of course,"" said Nuno. ""The FA Cup is the oldest competition there is. We played well and we achieved it with the amazing support of our fans pushing us. ""What pleases me more is that as I walk down the steps there are people telling me they saw the 50s and the 60s and they are still coming. ""To give them back this joy and see our fans going out of the stadium with a smile, with a lot of beer, of course, it feels good."" Marcus Rashford did pull a goal back for United in stoppage time but it was too late to trouble Wolves and the home side deserved their victory. ""I think in the first half we defended very well, very organised and very compact,"" added Nuno. ""We allowed them possession of the ball but tried to recover in the right areas. The shape worked very well. ""In the second half, I think we managed the ball better. We had possessions. We created problems for them with our movements. And then it's talent. Talent based on organisation."" Wolves are second favourites to win the FA Cup behind Premier League leaders Manchester City but Nuno is not looking too far ahead. ""We did what we have to do and now we prepare for the next one,"" he said."
englishFootball,"The Hornets are into the FA Cup semi-finals after a 2-1 win over Crystal Palace - with Gray scoring the winner 121 seconds after coming on - and two games away from winning the tournament for the first time in their history. Their only appearance in the final came back in 1984, when Graham Taylor's side were beaten by Everton at Wembley - but 35 years on, Gracia has the opportunity to write his own name into Watford history over the next two months. He said: ""We'll see what we are able to achieve in the future, I don't know if we will be able to play in the final but that's our target. We want to enjoy the semi-final, of course, but we want to be in the final and have the same mentality we have had all season. Be competitive, and game-by-game I think we will be able to achieve something this season."" Gray's goal enhanced the reputation all strikers dread - with another starring role as a super-sub to score from the bench for the third home game in a row. But Gracia spoke highly of his regular back-up striker after the game and added his hot streak had been no fluke. He said: ""He's done it in recent games too so it's not a surprise. He always has chances to score. His finishing has been very good, he's scored important goals for the team. ""It was a difficult decision because the game was open, and to take off Will [Hughes], put Gerard on the right and Andre up front with Troy was difficult, but it was good for the team."""
englishFootball,"The Hammers were staring at an embarrassing defeat to the Premier League's bottom side with 15 minutes left, before Angelo Ogbonna and a Javier Hernandez double handed them a memorable three points. Pellegrini was less than impressed with West Ham's first half performance and their defending from set-pieces, but he was delighted with the fight shown at the end and labelled it a win for the supporters. ""This is a match for the fans,"" Pellegrini said. ""Everyone was disappointed with our performance when we were losing 3-1. ""I think that the biggest merit for our team was that we never gave up, we tried to continue, we kept working, playing and we scored three goals."" On the first-half display, he added: ""We didn't play with the pace that this game needed. Before the game I talked with our players and we told them that this is a team that plays well, they are nearly relegated and have no pressure. ""Maybe they do not score too many goals but they are dangerous at set pieces and their first two goals came from set-pieces. ""We were a little bit lucky as there was as moment in our box when two of their players missed a chance, or it would have been 4-3 to them. So I think that bit of luck, and our reaction to going 3-1 down and the character of the team was important."" Pellegrini was also pleased that he was able to bring on quality players from the bench. Javier Hernandez was introduced at half-time and scored twice, while Samir Nasri's cross set up Hernandez's first. ""That's important for our team,"" Pellegrini said. ""We've played the whole season with eight or nine players injured, when you have a stronger bench it's so important."""
englishFootball,"The England centre-back was dismissed for a last-man foul on Johann Berg Gudmundsson but the Foxes were undeterred, as James Maddison's free-kick gave them the lead. Dwight McNeil levelled and Burnley pilled on the pressure but failed to genuinely test Kasper Schmeichel. Leicester then claimed the ultimate smash and grab when Wes Morgan, who came on for Demarai Gray after Maguire's dismissal, headed home from Youri Tielemans' deflected cross. The first away win of Rodgers' tenure in charge keeps Leicester in the race for seventh, which could be enough for a place in the Europa League. ""Everyone knows how tough it is to come here with 11 men but to play almost the whole game [with 10]. We actually started quite bright in that opening five minutes, but to lose a man and dig in like we did it was an incredible performance of resilience,"" said the Northern Irishman. ""You have to fight, you have to be resilient and you have to be persistent and when the chances come you've got to take them. A fantastic three points. ""You see the spirit in the team. The emotion that they show together and they were worth of it."" Morgan was named on the bench as Rodgers selected an unchanged side from the 3-1 win over Fulham last weekend. But the captain was soon required and Rodgers hailed the 35-year-old's performance at both ends. ""He's done it all of his career,"" the ex-Swansea City and Liverpool boss added. ""Defensively in the box he was incredible. ""Him and Jonny Evans were putting their head onto everything and they were certainly overworked in that period and throughout the game. ""But you always fancy it at 1-1 and we got a corner late on. They defend it well, it comes out and then Youri whips a great ball in and the big guys gets up and has done what he's done. A great header."" Rodgers had no argument with the sending off of Maguire, which will see him suspended for the visit of Bournemouth after the international break. Meanwhile, Maddison reacted to being omitted from Gareth Southgate's England squad for the start of Euro 2020 qualifying with a stunning set-piece to give Leicester a first-half lead. ""He is a wonderful technician at a dead-ball situation or sliding passes through,"" Rodgers said. ""He is a wonderful talent. ""He's been practising them the whole time I've been here and he puts the work in. It is not by accident he's got great quality and he's got great technique."""
englishFootball,"Harry Maguire was sent off after just four minutes following a last-man foul on Johann Berg Gudmundsson but Leicester took the lead when James Maddison curled home a superb free-kick on 33 minutes. Dwight McNeil levelled five minutes later (38) for the hosts with a fine finish but although Burnley had pressure, substitute Morgan nodded in Youri Tielemans' deflected cross at the death to give Leicester an unlikely victory. Burnley made one change from the 4-2 loss to Liverpool. Johann Gudmundsson replaced Jeff Hendrick. Otherwise, it was the same 18 which went to Anfield.Brendan Rodgers kept faith with the same side which beat Fulham. In fact, the entire squad was unchanged from that 3-1 success. The result keeps Burnley 17th, two points above the relegation zone, while Leicester remain 10th. With relegation adversaries Cardiff and Southampton not in action, the Clarets had the chance to steal a march on their rivals in the battle to avoid the drop. Those attempts were seemingly boosted almost from the outset as England international Maguire was dismissed after a clash of legs with the recalled Gudmundsson. Despite being at a numerical disadvantage it was Leicester who took the lead after Maddison was bundled to the floor by James Tarkowski and then stepped up to impressively bend the resulting free-kick past Tom Heaton. Jamie Vardy was denied by Heaton, who was recalled by England this week, and less than a minute later the Foxes were made to pay for not doubling their lead. Burnley:  Heaton 7, Bardsley 6, Tarkowski 4, Mee 6, Taylor 7; Gudmundsson 6, Westwood 5, Cork 6, McNeil 7; Barnes 5, Wood 6Subs:  Brady 5, Crouch 6, Vydra 6Leicester:  Schmeichel 6; Pereira 5, Evans 7, Maguire 2, Chilwell 6; Tielemans 7, Ndidi 8, Maddison 7; Gray 3, Vardy 6, Barnes 7Subs:  Morgan 8, Mendy 6, Fuchs 7Man of the match:  Wilfried Ndidi Charlie Taylor got free on the left and picked out England Under-20 newbie McNeil on the edge of the box, who swept the ball beyond Kasper Schmeichel with aplomb. Though referee Michael Oliver thought otherwise, there is little doubt Wilfried Ndidi's trip on Charlie Taylor in the second half should have resulted in a penalty. The start of the second half followed a more predictable pattern, with the home side enjoying much of the ball as they tried to make their man advantage count. Ashley Barnes spurned the best of the opportunities, scooping over the bar after McNeil's teasing cross. Sean Dyche's side should have had a penalty when Wilfred Ndidi clumsily tripped Charlie Taylor but referee Michael Oliver waves away the appeals. And that decision would prove to be decisive as a late bout of Leicester pressure led to captain Morgan - who had earlier replaced Demarai Gray after Maguire's red card - rising highest to head Tielemans' cross into the corner to spark scenes of delirium among the travelling fans. While Rodgers is now off the mark with Leicester away from home, defeat is a major blow to Burnley's hopes of avoiding the drop following a record-equalling fourth Premier League defeat in a row. Leicester offered very little in attack for long periods, and it required a heroic effort from the Nigerian at times to stem the Burnley flow. Though perhaps fortunate not to concede a penalty, he was otherwise key to protecting a weakened back four and snuffing out any threat - laying the platform for the late winner. Brendan Rodgers: ""A real team performance. The guys coming off the bench had to have an impact as well to give us that energy and all-round it was an incredible three points. ""You always fancy it at 1-1 and we got a corner late on. They defend it well, it comes out and then Youri whips a great ball in and the big guy gets up and has done what he's done. A great header. ""You see the spirit in the team. The emotion that they show together and they were worth of it."" Sean Dyche: ""They went to 10 men and I think it was so early it kind of shocked us and we didn't get to grips with it. ""You always fear a set-piece late on. We don't stop the cross, we don't deal with it before that actually. We give away a really poor corner for no reason, we don't stop the cross and they get a bit of fortune with it bouncing off Charlie Taylor's leg and onto Morgan's head. ""He [Ndidi] definitely clips him [Taylor] but a natural fall. You don't get them for natural falls. If he goes rolling around on the floor he's got a chance. I don't think you get them for natural falls. It is a shame because that is the way the game is going."" Following the international break, Burnley host Wolves while Leicester welcome Bournemouth on March 30."
englishFootball,"A stunning second-half performance, capped by goals from Richarlison and Gylfi Sigurdsson, secured the Toffees their first victory over one of the Premier League's established powerhouse clubs since their 4-0 demolition of Manchester City in January 2017. Everton dent Chelsea top-four hopesEverton 2-0 Chelsea: As it happened Silva admitted Everton were second best in the first half - during which Chelsea struck the post with one of their 10 attempts on goal - but praised his players for implementing their game plan with such precision. ""I don't have doubts about what I'm doing I'm the first one that wants more consistency,"" the Portuguese said. ""[We want] to be more mature to achieve everything we want, deserve and what our fans deserve also. ""The first half I didn't like it at all, we were not there from the first minute. What we did in the second half was everything we planned during the week. ""I told our players at half-time that they have to do everything different And they did. They showed great attitude, character and personality second half, but we have to do it from the first minute. ""Desire is a strong word. We weren't without desire. They work really hard every day, I can't say anything about their attitude. ""But maybe we weren't focused on our role. What I saw in the second half is what we do every day in training."""
englishFootball,"Beardsley left his role as Newcastle United's U23 coach earlier in March following a 14-month internal investigation after a complaint was made by midfielder Yasin Ben El-Mhanni. El-Mhanni, of Moroccan descent, accused Beardsley of humiliating him, which was supported by some of his team-mates. The FA confirmed earlier this week that they are investigating the allegations made against Beardsley, and the 58-year-old former England international has reiterated his denial of the accusations. He told The Mirror: ""I'm not a bully, and I'm not a racist. ""Everybody in the city of Newcastle has been amazing, for 15 months, they've been amazing. ""I know what I am and everybody who knows me, my family, my friends, knows what I am. I'm comfortable with what I am. It is what it is, I'm just ready to move on."" Beardsley has to clear his name with the FA to continue working in English football. Evidence from Newcastle's probe will be handed over."
